Issue Date,Issue No,Tenor,Weighted Average Rate
15-09-03,1539,91,0.832
15-09-03,1539,182,1.371
08-09-03,1538,91,0.84
08-09-03,1538,182,1.329
01-09-03,1537,91,0.844
01-09-03,1537,182,1.359
25-08-03,1536,91,0.843
25-08-03,1536,182,1.519
18-08-03,1535,91,1.036
18-08-03,1535,182,1.997
11-08-03,1534,91,1.364
11-08-03,1534,182,2.345
04-08-03,1533,91,1.48
04-08-03,1533,182,2.6
28-07-03,1532,91,1.522
28-07-03,1532,182,2.891
21-07-03,1604,91,1.542
21-07-03,1605,182,3.015
14-07-03,1602,91,1.547
14-07-03,1603,182,3.068
07-07-03,1600,91,1.537
07-07-03,1601,182,2.82
30-06-03,1598,91,1.763
30-06-03,1599,182,2.894
23-06-03,1596,91,2.027
23-06-03,1597,182,3.425
16-06-03,1594,91,2.524
16-06-03,1595,182,3.925
09-06-03,1592,91,3.854
09-06-03,1593,182,4.788
02-06-03,1590,91,4.823
02-06-03,1591,182,5.547
26-05-03,1588,91,5.399
26-05-03,1589,182,6.299
19-05-03,1586,91,5.782
19-05-03,1587,182,6.696
12-05-03,1584,91,6.008
12-05-03,1585,182,6.807
05-05-03,1582,91,6.184
05-05-03,1583,182,6.906
28-04-03,1580,91,6.336
28-04-03,1581,182,6.938
21-04-03,1578,91,6.324
21-04-03,1579,182,6.985
14-04-03,1576,91,6.264
14-04-03,1577,182,6.833
07-04-03,1574,91,6.091
07-04-03,1575,182,6.571
31-03-03,1572,91,5.796
31-03-03,1573,182,6.366
24-03-03,1570,91,5.816
24-03-03,1571,182,6.499
17-03-03,1568,91,6.115
17-03-03,1569,182,6.505
10-03-03,1566,91,6.481
10-03-03,1567,182,6.715
03-03-03,1564,91,6.989
03-03-03,1565,182,7.106
24-02-03,1562,91,7.402
24-02-03,1563,182,7.532
17-02-03,1560,91,7.623
17-02-03,1561,182,8.029
10-02-03,1558,91,7.921
10-02-03,1559,182,8.349
03-02-03,1556,91,8.149
03-02-03,1557,182,8.643
27-01-03,1554,91,8.291
27-01-03,1555,182,8.7
20-01-03,1552,91,8.352
20-01-03,1553,182,8.713
13-01-03,1550,91,8.415
13-01-03,1551,182,8.75
06-01-03,1548,91,8.478
06-01-03,1549,182,8.75
30-12-02,1546,91,8.419
30-12-02,1547,182,8.75
23-12-02,1544,91,8.373
23-12-02,1545,182,8.715
16-12-02,1542,91,8.393
16-12-02,1543,182,8.722
09-12-02,1540,91,8.365
09-12-02,1541,182,8.857
02-12-02,1538,91,8.338
02-12-02,1539,182,8.885
25-11-02,1536,91,8.283
25-11-02,1537,182,8.827
18-11-02,1534,91,8.245
18-11-02,1535,182,8.715
11-11-02,1532,91,8.303
11-11-02,1533,182,8.742
04-11-02,1530,91,8.363
04-11-02,1531,182,8.75
28-10-02,1528,91,8.409
28-10-02,1529,182,8.75
21-10-02,1526,91,8.281
21-10-02,1527,182,8.578
14-10-02,1524,91,8.036
14-10-02,1525,182,8.494
07-10-02,1522,91,7.535
07-10-02,1523,182,8.353
30-09-02,1520,91,7.265
30-09-02,1521,182,8.32
23-09-02,1518,91,7.241
23-09-02,1519,182,8.324
16-09-02,1516,91,7.575
16-09-02,1517,182,8.443
09-09-02,1514,91,7.848
09-09-02,1515,182,8.852
02-09-02,1512,91,8.075
02-09-02,1513,182,9.163
26-08-02,1510,91,8.293
26-08-02,1511,182,9.49
19-08-02,1508,91,8.322
19-08-02,1509,182,9.5
12-08-02,1506,91,8.315
12-08-02,1507,182,9.468
05-08-02,1504,91,8.428
05-08-02,1505,182,9.495
29-07-02,1502,91,8.611
29-07-02,1503,182,9.503
22-07-02,1500,91,8.74
22-07-02,1501,182,9.395
15-07-02,1498,91,8.779
15-07-02,1499,182,9.41
08-07-02,1496,91,8.732
08-07-02,1497,182,9.377
01-07-02,1494,91,8.306
01-07-02,1495,182,9.127
24-06-02,1492,91,7.498
24-06-02,1493,182,8.859
17-06-02,1490,91,7.006
17-06-02,1491,182,8.632
10-06-02,1488,91,7.132
10-06-02,1489,182,8.651
03-06-02,1486,91,7.716
03-06-02,1487,182,9.07
27-05-02,1484,91,8.329
27-05-02,1485,182,9.499
20-05-02,1482,91,8.868
20-05-02,1483,182,9.891
13-05-02,1480,91,9.315
13-05-02,1481,182,10.18
06-05-02,1478,91,9.647
06-05-02,1479,182,10.347
29-04-02,1476,91,9.818
29-04-02,1477,182,10.419
22-04-02,1474,91,9.982
22-04-02,1475,182,10.471
15-04-02,1472,91,10.078
15-04-02,1473,182,10.511
08-04-02,1470,91,10.097
08-04-02,1471,182,10.524
01-04-02,1468,91,10.075
01-04-02,1469,182,10.447
25-03-02,1466,91,10.045
25-03-02,1467,182,10.423
18-03-02,1464,91,10.051
18-03-02,1465,182,10.516
11-03-02,1462,91,10.147
11-03-02,1463,182,10.645
04-03-02,1460,91,10.333
04-03-02,1461,182,10.803
25-02-02,1458,91,10.469
25-02-02,1459,182,10.995
18-02-02,1457,91,10.565
18-02-02,1457,182,11.242
11-02-02,1456,91,10.67
04-02-02,1455,91,10.74
28-01-02,1454,91,10.805
21-01-02,1453,91,10.836
14-01-02,1452,91,10.881
07-01-02,1451,91,10.897
31-12-01,1450,91,10.854
24-12-01,1449,91,10.81
17-12-01,1448,91,10.982
10-12-01,1447,91,11.135
03-12-01,1446,91,11.281
26-11-01,1445,91,11.447
19-11-01,1444,91,11.516
12-11-01,1443,91,11.52
05-11-01,1442,91,11.507
29-10-01,1441,91,11.504
22-10-01,1440,91,11.446
15-10-01,1439,91,11.509
08-10-01,1438,91,11.703
01-10-01,1437,91,11.981
24-09-01,1436,91,12.141
17-09-01,1435,91,12.281
10-09-01,1434,91,12.49
03-09-01,1433,91,12.661
27-08-01,1432,91,12.777
20-08-01,1431,91,12.802
13-08-01,1430,91,12.839
06-08-01,1429,91,12.937
30-07-01,1428,91,12.944
23-07-01,1427,91,12.937
16-07-01,1426,91,12.898
09-07-01,1425,91,12.803
02-07-01,1424,91,12.784
25-06-01,1423,91,12.433
18-06-01,1422,91,12.293
11-06-01,1421,91,11.993
04-06-01,1420,91,11.559
28-05-01,1419,91,10.342
21-05-01,1418,91,10.059
14-05-01,1417,91,10.514
07-05-01,1416,91,11.152
30-04-01,1415,91,11.799
23-04-01,1414,91,12.397
16-04-01,1413,91,12.954
09-04-01,1412,91,13.426
02-04-01,1411,91,13.92
26-03-01,1410,91,14.418
19-03-01,1409,91,14.802
12-03-01,1408,91,15.288
05-03-01,1407,91,15.379
26-02-01,1406,91,15.401
19-02-01,1405,91,15.319
12-02-01,1404,91,15.261
05-02-01,1403,91,15.208
29-01-01,1402,91,15.122
22-01-01,1401,91,14.987
15-01-01,1400,91,14.872
08-01-01,1399,91,14.64
01-01-01,1398,91,14.157
